iter	Accuracy	MultiClass
0	0.4220314735	2.236947564
1	0.4678111588	2.169826189
2	0.5178826896	2.115738186
3	0.5107296137	2.061878455
4	0.5321888412	2.013586579
5	0.5622317597	1.967772837
6	0.5765379113	1.927105753
7	0.5979971388	1.890472928
8	0.5994277539	1.859263064
9	0.6051502146	1.827882458
10	0.6237482117	1.793044133
11	0.6337625179	1.756782173
12	0.6480686695	1.724329983
13	0.6580829757	1.690688837
14	0.669527897	1.662930756
15	0.6824034335	1.635731003
16	0.678111588	1.611613651
17	0.686695279	1.587265102
18	0.6881258941	1.563738605
19	0.7010014306	1.54122192
20	0.7095851216	1.523318128
21	0.7210300429	1.50187588
22	0.7339055794	1.482892004
23	0.7396280401	1.463728189
24	0.7439198856	1.444049671
25	0.7453505007	1.426476259
26	0.7410586552	1.409739647
27	0.7453505007	1.389535238
28	0.7453505007	1.372402573
29	0.7553648069	1.351512831
30	0.7625178827	1.328888592
31	0.773962804	1.313219697
32	0.7768240343	1.296566845
33	0.782546495	1.281990354
34	0.7811158798	1.269334297
35	0.791130186	1.255650978
36	0.7925608011	1.237828801
37	0.7982832618	1.223641812
38	0.808297568	1.211178414
39	0.8040057225	1.197243407
40	0.8111587983	1.186568418
41	0.8011444921	1.175183113
42	0.8054363376	1.162793924
43	0.8168812589	1.150174227
44	0.8211731044	1.13592701
45	0.8226037196	1.124750262
46	0.8283261803	1.114048533
47	0.8297567954	1.100743131
48	0.8297567954	1.090587823
49	0.8297567954	1.0794458
50	0.8311874106	1.067386593
51	0.8283261803	1.054786442
52	0.8326180258	1.047152545
53	0.8297567954	1.037332375
54	0.8354792561	1.028147922
55	0.8340486409	1.019168149
56	0.8383404864	1.010189402
57	0.8426323319	0.9989526739
58	0.8497854077	0.9904720676
59	0.8426323319	0.9810180473
60	0.8426323319	0.9706146957
61	0.8469241774	0.9635587728
62	0.8512160229	0.954051204
63	0.8555078684	0.9434609458
64	0.8555078684	0.9332321948
65	0.8583690987	0.9258147607
66	0.8597997139	0.9162164183
67	0.8597997139	0.9094102981
68	0.8655221745	0.9015626346
69	0.8683834049	0.8926357363
70	0.86981402	0.8857563217
71	0.8669527897	0.8772941602
72	0.8712446352	0.871730701
73	0.8712446352	0.862443555
74	0.8741058655	0.8562665976
75	0.8755364807	0.8482394097
76	0.878397711	0.841369552
77	0.8798283262	0.8348483488
78	0.8812589413	0.828424657
79	0.8841201717	0.8228890937
80	0.8855507868	0.8177192334
81	0.8912732475	0.8087717698
82	0.895565093	0.8023508311
83	0.8969957082	0.7965846802
84	0.8927038627	0.7909186659
85	0.8927038627	0.7860902755
86	0.895565093	0.780347134
87	0.8969957082	0.7765237466
88	0.8969957082	0.7693633032
89	0.8941344778	0.764790697
90	0.904148784	0.7584045209
91	0.9084406295	0.7518330867
92	0.9070100143	0.7463997253
93	0.9098712446	0.7411268491
94	0.9070100143	0.7349511451
95	0.9084406295	0.7318617813
96	0.9084406295	0.7278750606
97	0.9084406295	0.7223364924
98	0.912732475	0.7158609612
99	0.9184549356	0.7105780899
100	0.921316166	0.7061013017
101	0.9227467811	0.7000055939
102	0.9241773963	0.6938900373
103	0.9256080114	0.6887333853
104	0.9241773963	0.6842610545
105	0.9270386266	0.6787933916
106	0.9270386266	0.675465977
107	0.9284692418	0.6709217155
108	0.9298998569	0.6653406968
109	0.9341917024	0.6606464121
110	0.9327610873	0.6566334515
111	0.9370529328	0.652184614
112	0.9341917024	0.647837782
113	0.9341917024	0.6426175697
114	0.9356223176	0.6411369984
115	0.9341917024	0.6386364394
116	0.9356223176	0.6345735466
117	0.9384835479	0.6299478548
118	0.9413447783	0.6259715537
119	0.9399141631	0.6245082717
120	0.9413447783	0.6196388649
121	0.9413447783	0.6162811199
122	0.9427753934	0.6125095978
123	0.9427753934	0.6080265371
124	0.9442060086	0.6035178726
125	0.9470672389	0.5998438432
126	0.9456366237	0.5960345584
127	0.9470672389	0.5920248252
128	0.9513590844	0.5874813489
129	0.9513590844	0.5830929633
130	0.9513590844	0.5794069514
131	0.9513590844	0.5752366167
132	0.9570815451	0.5729065866
133	0.9556509299	0.5698937595
134	0.9556509299	0.5672416877
135	0.9570815451	0.5649411921
136	0.9585121602	0.5598139281
137	0.9613733906	0.5569834149
138	0.9628040057	0.5534038738
139	0.9628040057	0.5504838396
140	0.9628040057	0.5456981416
141	0.9628040057	0.5421140801
142	0.9642346209	0.538692668
143	0.9656652361	0.5355104754
144	0.9670958512	0.5326988438
145	0.9685264664	0.5288506601
146	0.9685264664	0.5260299872
147	0.9670958512	0.5226619594
148	0.9670958512	0.5203400003
149	0.9670958512	0.5173693869
150	0.9685264664	0.5146257311
151	0.9685264664	0.5124173058
152	0.9685264664	0.5112016799
153	0.9699570815	0.5084333099
154	0.9685264664	0.5057477346
155	0.9685264664	0.5044944279
156	0.9699570815	0.5030545048
157	0.9685264664	0.501319426
158	0.9699570815	0.4977868533
159	0.9699570815	0.4954678859
160	0.9699570815	0.493249486
161	0.9699570815	0.4906286983
162	0.9699570815	0.4880450263
163	0.9699570815	0.4853390635
164	0.9699570815	0.4825269267
165	0.9699570815	0.4805022031
166	0.9699570815	0.4777637005
167	0.9713876967	0.4752931278
168	0.9713876967	0.4734056015
169	0.9699570815	0.471148351
170	0.9699570815	0.4692915166
171	0.9713876967	0.4667657864
172	0.9728183119	0.4648433929
173	0.9728183119	0.4624674597
174	0.9728183119	0.459402584
175	0.974248927	0.4572728819
176	0.9728183119	0.4556620004
177	0.9713876967	0.4526989204
178	0.9713876967	0.4505211353
179	0.9728183119	0.4479001602
180	0.9728183119	0.4461518405
181	0.9728183119	0.445187901
182	0.9728183119	0.4429532072
183	0.9728183119	0.4408446644
184	0.9728183119	0.4384090428
185	0.9713876967	0.4355069016
186	0.974248927	0.4331568429
187	0.9756795422	0.4311601223
188	0.9756795422	0.4286188872
189	0.974248927	0.4263440969
190	0.974248927	0.4242379488
191	0.974248927	0.4223820564
192	0.974248927	0.4203804829
193	0.974248927	0.4184182599
194	0.974248927	0.4163988146
195	0.9756795422	0.4149197397
196	0.9756795422	0.4132804383
197	0.974248927	0.4112551194
198	0.9756795422	0.4094775238
199	0.9771101574	0.4069241354
200	0.9771101574	0.4050518308
201	0.9785407725	0.4028278057
202	0.9785407725	0.4004771541
203	0.9799713877	0.398626922
204	0.9799713877	0.3970630644
205	0.9799713877	0.3954106172
206	0.9799713877	0.3935527398
207	0.9814020029	0.3913325033
208	0.9814020029	0.3887387612
209	0.9814020029	0.3871088799
210	0.9814020029	0.3854996614
211	0.9814020029	0.3840208096
212	0.9814020029	0.3814650233
213	0.9814020029	0.3800281731
214	0.9814020029	0.378906205
215	0.9814020029	0.3771607363
216	0.9814020029	0.3756030723
217	0.982832618	0.3737719217
218	0.982832618	0.3720693512
219	0.982832618	0.371193019
220	0.982832618	0.3697652225
221	0.982832618	0.3681001581
222	0.982832618	0.3670792742
223	0.982832618	0.3651576428
