iter	Passed	Remaining
0	171	170989
1	208	104228
2	245	81468
3	279	69707
4	315	62711
5	350	58123
6	385	54708
7	422	52416
8	463	51000
9	503	49829
10	543	48872
11	584	48113
12	623	47368
13	665	46864
14	705	46295
15	744	45807
16	786	45472
17	822	44849
18	858	44302
19	892	43755
20	926	43199
21	961	42750
22	997	42371
23	1033	42037
24	1070	41748
25	1105	41400
26	1141	41138
27	1176	40826
28	1210	40538
29	1244	40243
30	1280	40021
31	1315	39792
32	1350	39582
33	1384	39346
34	1418	39105
35	1453	38917
36	1486	38693
37	1520	38492
38	1555	38323
39	1589	38148
40	1624	37988
41	1659	37854
42	1695	37734
43	1730	37606
44	1764	37442
45	1800	37332
46	1834	37197
47	1870	37105
48	1907	37013
49	1942	36902
50	1977	36793
51	2014	36727
52	2049	36621
53	2084	36525
54	2120	36428
55	2155	36327
56	2189	36218
57	2223	36117
58	2257	36003
59	2293	35930
60	2326	35817
61	2359	35699
62	2391	35575
63	2425	35470
64	2459	35380
65	2493	35281
66	2527	35191
67	2560	35097
68	2593	34990
69	2626	34893
70	2660	34809
71	2697	34761
72	2730	34668
73	2764	34588
74	2799	34532
75	2834	34462
76	2869	34392
77	2903	34324
78	2937	34247
79	2971	34171
80	3004	34091
81	3038	34013
82	3070	33926
83	3105	33864
84	3139	33791
85	3189	33899
86	3235	33954
87	3286	34059
88	3336	34148
89	3370	34075
90	3404	34004
91	3436	33919
92	3469	33836
93	3504	33773
94	3542	33749
95	3579	33706
96	3616	33667
97	3650	33595
98	3683	33527
99	3717	33459
100	3751	33393
101	3786	33332
102	3820	33274
103	3855	33217
104	3889	33152
105	3922	33086
106	3957	33031
107	3990	32962
108	4027	32920
109	4060	32853
110	4093	32784
111	4127	32722
112	4160	32658
113	4195	32610
114	4228	32542
115	4262	32483
116	4294	32409
117	4328	32354
118	4363	32304
119	4396	32242
120	4430	32187
121	4463	32123
122	4496	32061
123	4530	32003
124	4564	31951
125	4598	31896
126	4632	31844
127	4666	31791
128	4699	31733
129	4733	31681
130	4768	31632
131	4804	31590
132	4846	31592
133	4888	31595
134	4927	31572
135	4968	31565
136	5008	31547
137	5046	31523
138	5082	31483
139	5116	31430
140	5152	31390
141	5186	31340
142	5220	31286
143	5255	31241
144	5289	31190
145	5322	31134
146	5356	31080
147	5390	31033
148	5425	30986
149	5461	30947
150	5499	30919
151	5537	30895
152	5576	30868
153	5614	30844
154	5655	30829
155	5696	30817
156	5733	30784
157	5771	30755
158	5807	30717
159	5843	30676
